2023-10-27 23:25:05,549 INFO    StreamThr :16476 [internal.py:wandb_internal():86] W&B internal server running at pid: 16476, started at: 2023-10-27 23:25:05.549110
2023-10-27 23:25:05,549 DEBUG   HandlerThread:16476 [handler.py:handle_request():146] handle_request: status
2023-10-27 23:25:05,556 INFO    WriterThread:16476 [datastore.py:open_for_write():85] open: C:\Users\Drishti\calhacks_llm\VibeMaps\wandb\run-20231027_232505-dbrta906\run-dbrta906.wandb
2023-10-27 23:25:05,556 DEBUG   SenderThread:16476 [sender.py:send():380] send: header
2023-10-27 23:25:05,630 DEBUG   SenderThread:16476 [sender.py:send():380] send: run
2023-10-27 23:25:05,936 INFO    SenderThread:16476 [dir_watcher.py:__init__():211] watching files in: C:\Users\Drishti\calhacks_llm\VibeMaps\wandb\run-20231027_232505-dbrta906\files
2023-10-27 23:25:05,936 INFO    SenderThread:16476 [sender.py:_start_run_threads():1122] run started: dbrta906 with start time 1698474305.54911
2023-10-27 23:25:05,957 DEBUG   HandlerThread:16476 [handler.py:handle_request():146] handle_request: check_version
2023-10-27 23:25:05,957 DEBUG   SenderThread:16476 [sender.py:send_request():407] send_request: check_version
2023-10-27 23:25:06,066 DEBUG   HandlerThread:16476 [handler.py:handle_request():146] handle_request: run_start
2023-10-27 23:25:06,086 DEBUG   HandlerThread:16476 [system_info.py:__init__():32] System info init
2023-10-27 23:25:06,086 DEBUG   HandlerThread:16476 [system_info.py:__init__():47] System info init done
2023-10-27 23:25:06,086 INFO    HandlerThread:16476 [system_monitor.py:start():194] Starting system monitor
2023-10-27 23:25:06,086 INFO    SystemMonitor:16476 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-27 23:25:06,086 INFO    HandlerThread:16476 [system_monitor.py:probe():214] Collecting system info
2023-10-27 23:25:06,097 DEBUG   HandlerThread:16476 [system_info.py:probe():196] Probing system
2023-10-27 23:25:06,097 INFO    SystemMonitor:16476 [interfaces.py:start():190] Started cpu monitoring
2023-10-27 23:25:06,102 INFO    SystemMonitor:16476 [interfaces.py:start():190] Started disk monitoring
2023-10-27 23:25:06,111 INFO    SystemMonitor:16476 [interfaces.py:start():190] Started memory monitoring
2023-10-27 23:25:06,118 INFO    SystemMonitor:16476 [interfaces.py:start():190] Started network monitoring
2023-10-27 23:25:06,134 DEBUG   HandlerThread:16476 [system_info.py:_probe_git():181] Probing git
2023-10-27 23:25:06,267 DEBUG   HandlerThread:16476 [system_info.py:_probe_git():189] Probing git done
2023-10-27 23:25:06,267 DEBUG   HandlerThread:16476 [system_info.py:probe():244] Probing system done
